service_id,date,exception_type
1_955_152_10_259_3,20261102,1
1_955_152_10_259_3,20261207,1
1_955_152_10_259_3,20261208,1
1_955_152_10_259_3,20261225,1
1_955_152_10_259_3,20260422,1
1_955_152_10_259_3,20260604,1
1_962_520_10_277_3,20260101,1
1_962_520_10_277_3,20260106,1
1_962_520_10_277_3,20260228,1
1_962_520_10_277_3,20260402,1
1_962_520_10_277_3,20260403,1
1_962_520_10_277_3,20260501,1
1_962_520_10_277_3,20260815,1
1_962_520_10_277_3,20261212,1
1_962_520_10_277_3,20261102,1
1_962_520_10_277_3,20261207,1
1_962_520_10_277_3,20261208,1
1_962_520_10_277_3,20261225,1
1_962_520_10_277_3,20260422,1
1_962_520_10_277_3,20260604,1
1_968_263_10_286_3,20260101,1
1_968_263_10_286_3,20260106,1
1_968_263_10_286_3,20260228,1
1_968_263_10_286_3,20260402,1
1_968_263_10_286_3,20260403,1
1_968_263_10_286_3,20260501,1
1_968_263_10_286_3,20260815,1
1_968_263_10_286_3,20261212,1
1_968_263_10_286_3,20261102,1
1_968_263_10_286_3,20261207,1
1_968_263_10_286_3,20261208,1
1_968_263_10_286_3,20261225,1
1_968_263_10_286_3,20260422,1
1_968_263_10_286_3,20260604,1
1_972_191_10_263_3,20260101,1
1_972_191_10_263_3,20260106,1
1_972_191_10_263_3,20260228,1
1_972_191_10_263_3,20260402,1
1_972_191_10_263_3,20260403,1
1_972_191_10_263_3,20260501,1
1_972_191_10_263_3,20260815,1
1_972_191_10_263_3,20261212,1
1_972_191_10_263_3,20261102,1
1_972_191_10_263_3,20261207,1
1_972_191_10_263_3,20261208,1
1_972_191_10_263_3,20261225,1
1_972_191_10_263_3,20260422,1
1_972_191_10_263_3,20260604,1
1_980_1411_10_289_3,20260101,1
1_980_1411_10_289_3,20260106,1
1_980_1411_10_289_3,20260228,1
1_980_1411_10_289_3,20260402,1
1_980_1411_10_289_3,20260403,1
1_980_1411_10_289_3,20260501,1
1_980_1411_10_289_3,20260815,1
1_980_1411_10_289_3,20261212,1
1_980_1411_10_289_3,20261102,1
1_980_1411_10_289_3,20261207,1
1_980_1411_10_289_3,20261208,1
1_980_1411_10_289_3,20261225,1
1_980_1411_10_289_3,20260422,1
1_980_1411_10_289_3,20260604,1
1_990_1482_10_542_13,20260101,1
1_990_1482_10_542_13,20260106,1
1_990_1482_10_542_13,20260228,1
1_990_1482_10_542_13,20260402,1
1_990_1482_10_542_13,20260403,1
1_990_1482_10_542_13,20260501,1
1_990_1482_10_542_13,20260815,1
1_990_1482_10_542_13,20261212,1
1_990_1482_10_542_13,20261102,1
1_990_1482_10_542_13,20261207,1
1_990_1482_10_542_13,20261208,1
1_990_1482_10_542_13,20261225,1
1_990_1482_10_542_13,20260422,1
1_990_1482_10_542_13,20260604,1
1_995_1440_9_223_4,20260101,1
1_995_1440_9_223_4,20260106,1
1_995_1440_9_223_4,20260228,1
1_995_1440_9_223_4,20260402,1
1_995_1440_9_223_4,20260403,1
1_995_1440_9_223_4,20260501,1
1_995_1440_9_223_4,20260815,1
1_995_1440_9_223_4,20261212,1
1_995_1440_9_223_4,20261102,1
1_995_1440_9_223_4,20261207,1
1_995_1440_9_223_4,20261208,1
1_995_1440_9_223_4,20261225,1
1_995_1440_9_223_4,20260422,1
1_995_1440_9_223_4,20260604,1
1_999_1445_10_295_3,20260101,1
1_999_1445_10_295_3,20260106,1
1_999_1445_10_295_3,20260228,1
1_999_1445_10_295_3,20260402,1
1_999_1445_10_295_3,20260403,1
1_999_1445_10_295_3,20260501,1
1_999_1445_10_295_3,20260815,1
1_999_1445_10_295_3,20261212,1
1_999_1445_10_295_3,20261102,1
1_999_1445_10_295_3,20261207,1
1_999_1445_10_295_3,20261208,1
1_999_1445_10_295_3,20261225,1
1_999_1445_10_295_3,20260422,1
1_999_1445_10_295_3,20260604,1
1_1012_1480_10_496_13,20260101,1
1_1012_1480_10_496_13,20260106,1
1_1012_1480_10_496_13,20260228,1
1_1012_1480_10_496_13,20260402,1
1_1012_1480_10_496_13,20260403,1
1_1012_1480_10_496_13,20260501,1
1_1012_1480_10_496_13,20260815,1
1_1012_1480_10_496_13,20261212,1
1_1012_1480_10_496_13,20261102,1
1_1012_1480_10_496_13,20261207,1
1_1012_1480_10_496_13,20261208,1
1_1012_1480_10_496_13,20261225,1
1_1012_1480_10_496_13,20260422,1
1_1012_1480_10_496_13,20260604,1
1_1012_1481_10_504_13,20260101,1
1_1012_1481_10_504_13,20260106,1
1_1012_1481_10_504_13,20260228,1
1_1012_1481_10_504_13,20260402,1
1_1012_1481_10_504_13,20260403,1
1_1012_1481_10_504_13,20260501,1
1_1012_1481_10_504_13,20260815,1
1_1012_1481_10_504_13,20261212,1
1_1012_1481_10_504_13,20261102,1
1_1012_1481_10_504_13,20261207,1
1_1012_1481_10_504_13,20261208,1
1_1012_1481_10_504_13,20261225,1
1_1012_1481_10_504_13,20260422,1
1_1012_1481_10_504_13,20260604,1
1_1022_1522_10_275_3,20260101,1
1_1022_1522_10_275_3,20260106,1
1_1022_1522_10_275_3,20260228,1
1_1022_1522_10_275_3,20260402,1
1_1022_1522_10_275_3,20260403,1
1_1022_1522_10_275_3,20260501,1
1_1022_1522_10_275_3,20260815,1
1_1022_1522_10_275_3,20261212,1
1_1022_1522_10_275_3,20261102,1
1_1022_1522_10_275_3,20261207,1
1_1022_1522_10_275_3,20261208,1
1_1022_1522_10_275_3,20261225,1
1_1022_1522_10_275_3,20260422,1
1_1022_1522_10_275_3,20260604,1
1_1030_1530_24_240_4,20260101,1
1_1030_1530_24_240_4,20260106,1
1_1030_1530_24_240_4,20260228,1
1_1030_1530_24_240_4,20260402,1
1_1030_1530_24_240_4,20260403,1
1_1030_1530_24_240_4,20260501,1
1_1030_1530_24_240_4,20260815,1
1_1030_1530_24_240_4,20261212,1
1_1030_1530_24_240_4,20261102,1
1_1030_1530_24_240_4,20261207,1
1_1030_1530_24_240_4,20261208,1
1_1030_1530_24_240_4,20261225,1
1_1030_1530_24_240_4,20260422,1
1_1030_1530_24_240_4,20260604,1
1_1030_1530_24_241_4,20260101,1
1_1030_1530_24_241_4,20260106,1
1_1030_1530_24_241_4,20260228,1
1_1030_1530_24_241_4,20260402,1
1_1030_1530_24_241_4,20260403,1
1_1030_1530_24_241_4,20260501,1
1_1030_1530_24_241_4,20260815,1
1_1030_1530_24_241_4,20261212,1
1_1030_1530_24_241_4,20261102,1
1_1030_1530_24_241_4,20261207,1
1_1030_1530_24_241_4,20261208,1
1_1030_1530_24_241_4,20261225,1
1_1030_1530_24_241_4,20260422,1
1_1030_1530_24_241_4,20260604,1
2_1083_1840_6_26_2,20260101,1
2_1083_1840_6_26_2,20260106,1
2_1083_1840_6_26_2,20260228,1
2_1083_1840_6_26_2,20260501,1
2_1083_1840_6_26_2,20260815,1
2_1083_1840_6_26_2,20261012,1
2_1083_1840_6_26_2,20261101,1
2_1083_1840_6_26_2,20261206,1
2_1083_1840_6_26_2,20261208,1
2_1083_1840_6_26_2,20261225,1
2_1083_1840_6_26_2,20260128,1
2_1083_1840_6_26_2,20260204,1
2_1083_1840_6_26_2,20260205,1
2_1083_1840_6_26_2,20260206,1
2_1083_1840_6_26_2,20260211,1
2_1083_1840_6_26_2,20260402,1
2_1083_1840_6_26_2,20260403,1
2_1083_1840_6_26_2,20260608,1
2_1086_20_8_5_2,20260101,1
2_1086_20_8_5_2,20260106,1
2_1086_20_8_5_2,20260228,1
2_1086_20_8_5_2,20260501,1
2_1086_20_8_5_2,20260815,1
2_1086_20_8_5_2,20261012,1
2_1086_20_8_5_2,20261101,1
2_1086_20_8_5_2,20261206,1
2_1086_20_8_5_2,20261208,1
2_1086_20_8_5_2,20261225,1
2_1086_20_8_5_2,20260128,1
2_1086_20_8_5_2,20260204,1
2_1086_20_8_5_2,20260205,1
2_1086_20_8_5_2,20260206,1
